,translation,input
1,Numero_observation,Num
2,Code_postal_etablissement,Zip
3,Espece,Esp
4,Nombre_individus,Nbr
5,Humidite_sol_lors_observation,Hum
6,Difficulte_enfoncer_crayon,Dif
7,Type_de_milieu,Env
8,Departement,Dep
9,Placette,Pla
10,Vers,Vdt
11,Oiseaux,Ois
12,Date,Dat
13,Surface_zone,Sur
14,Distance_bois,Boi
15,Distance_prairie,Pra
16,Distance_champ,Cha
17,Escargots,Esc
18,Region,Reg
19,Latitude,Lat
20,Academie,Aca
21,Annee,Ann
22,Mois,Moi
23,Longitude,Lon
24,Taupinieres,Tau
25,Longueur_rue,Lgr
26,Temperature,Tem
27,Telephone,Tel
28,Vent,Ven
