"Numero_observation";"Code_postal";"Espece";"Humidite_sol";"Difficulte_enfoncer_crayon";"Environnement";"Placette";"Nombre_individus"
94941;"93000";"Anécique tête noire";"sec";"facile";"Urbain";1;4
94941;"93000";"Anécique tête noire";"sec";"facile";"Urbain";2;7
94941;"93000";"Anécique tête noire";"sec";"facile";"Urbain";3;11
94941;"93000";"Anécique tête rouge";"sec";"facile";"Urbain";1;5
94941;"93000";"Anécique tête rouge";"sec";"facile";"Urbain";2;6
94941;"93000";"Anécique tête rouge";"sec";"facile";"Urbain";3;10
94941;"93000";"Endogé";"sec";"facile";"Urbain";1;13
94941;"93000";"Endogé";"sec";"facile";"Urbain";2;15
94941;"93000";"Endogé";"sec";"facile";"Urbain";3;20
94941;"93000";"Epigé";"sec";"facile";"Urbain";1;9
94941;"93000";"Epigé";"sec";"facile";"Urbain";2;13
94941;"93000";"Epigé";"sec";"facile";"Urbain";3;16
94982;"81000";"Anécique tête noire";"sec";"peu_difficile";"Péri-urbain";1;11
94982;"81000";"Anécique tête noire";"sec";"peu_difficile";"Péri-urbain";2;13
94982;"81000";"Anécique tête noire";"sec";"peu_difficile";"Péri-urbain";3;0
94982;"81000";"Anécique tête rouge";"sec";"peu_difficile";"Péri-urbain";1;6
94982;"81000";"Anécique tête rouge";"sec";"peu_difficile";"Péri-urbain";2;11
94982;"81000";"Anécique tête rouge";"sec";"peu_difficile";"Péri-urbain";3;0
94982;"81000";"Endogé";"sec";"peu_difficile";"Péri-urbain";1;33
94982;"81000";"Endogé";"sec";"peu_difficile";"Péri-urbain";2;0
94982;"81000";"Endogé";"sec";"peu_difficile";"Péri-urbain";3;0
94982;"81000";"Epigé";"sec";"peu_difficile";"Péri-urbain";1;5
94982;"81000";"Epigé";"sec";"peu_difficile";"Péri-urbain";2;4
94982;"81000";"Epigé";"sec";"peu_difficile";"Péri-urbain";3;0
94983;"81000";"Anécique tête noire";"sec";"peu_difficile";"Péri-urbain";1;8
94983;"81000";"Anécique tête noire";"sec";"peu_difficile";"Péri-urbain";2;4
94983;"81000";"Anécique tête noire";"sec";"peu_difficile";"Péri-urbain";3;0
94983;"81000";"Anécique tête rouge";"sec";"peu_difficile";"Péri-urbain";1;0
94983;"81000";"Anécique tête rouge";"sec";"peu_difficile";"Péri-urbain";2;0
94983;"81000";"Anécique tête rouge";"sec";"peu_difficile";"Péri-urbain";3;0
94983;"81000";"Endogé";"sec";"peu_difficile";"Péri-urbain";1;4
94983;"81000";"Endogé";"sec";"peu_difficile";"Péri-urbain";2;33
94983;"81000";"Endogé";"sec";"peu_difficile";"Péri-urbain";3;0
94983;"81000";"Epigé";"sec";"peu_difficile";"Péri-urbain";1;7
94983;"81000";"Epigé";"sec";"peu_difficile";"Péri-urbain";2;14
94983;"81000";"Epigé";"sec";"peu_difficile";"Péri-urbain";3;0
94994;"62130";"Anécique tête noire";"sec";"facile";"Rural";1;10
94994;"62130";"Anécique tête noire";"sec";"facile";"Rural";2;0
94994;"62130";"Anécique tête noire";"sec";"facile";"Rural";3;0
94994;"62130";"Anécique tête rouge";"sec";"facile";"Rural";1;2
94994;"62130";"Anécique tête rouge";"sec";"facile";"Rural";2;8
94994;"62130";"Anécique tête rouge";"sec";"facile";"Rural";3;20
94994;"62130";"Endogé";"sec";"facile";"Rural";1;17
94994;"62130";"Endogé";"sec";"facile";"Rural";2;49
94994;"62130";"Endogé";"sec";"facile";"Rural";3;64
